iteration,score,q_val,nowMem,pealMem
1,0,2.3333,3970.05,3971.34
2,0,-207.6667,3975.43,4256.38
3,0,3.6189,3978.88,4260.85
4,0,2.3348,3980.92,4264.26
5,0,2.7939,3985.24,4266.37
6,0,3.7981,3987.23,4270.63
7,0,2.8707,3990.75,4272.72
8,0,3.9451,3992.0,4276.22
9,0,3.5815,3994.22,4277.55
1,0,2.3333,3970.3,3971.64
2,0,2.3337,3980.91,4256.62
3,0,2.3341,3990.33,4266.27
4,0,2.336,3998.27,4275.74
5,0,2.3346,4000.38,4283.75
6,0,3.9802,4003.18,4285.84
7,0,2.3346,4005.38,4288.67
8,0,4.3701,4007.01,4290.85
9,0,2.3352,4008.74,4292.49
10,0,3.8036,4010.78,4294.29
11,0,2.3342,4013.08,4296.21
12,0,7.0743,4015.3,4298.62
13,0,4.4329,4017.46,4300.79
14,0,4.7772,4018.91,4302.92
15,0,4.9949,4020.73,4304.51
16,0,2.3357,4022.52,4306.27
17,0,3.5112,4024.29,4308.11
18,0,2.6839,4025.42,4309.79
19,0,4.3164,4026.35,4310.99
20,0,3.9808,4027.51,4311.96
21,0,6.7019,4028.17,4313.16
22,0,4.7089,4029.45,4313.8
23,0,3.7705,4029.95,4315.09
24,0,5.738,4031.09,4315.56
25,0,3.7052,4033.57,5179.96
26,0,6.1205,4034.28,5179.96
27,0,5.816,4035.2,5179.96
28,0,6.3749,4036.11,5179.96
29,0,5.4069,4036.96,5179.96
30,0,7.6414,4037.38,5179.96
31,0,4.499,4038.54,5179.96
32,0,3.1663,4039.61,5179.96
33,0,5.9664,4040.33,5179.96
34,0,6.986,4041.12,5179.96
35,0,6.9257,4041.36,5179.96
36,0,4.4871,4041.87,5179.96
37,0,6.9297,4042.36,5179.96
38,0,9.3571,4043.37,5179.96
39,0,6.14,4044.09,5179.96
40,0,11.3205,4044.56,5179.96
41,0,5.5017,4045.32,5179.96
42,0,5.5206,4046.02,5179.96
43,0,7.6625,4046.28,5179.96
44,0,6.7304,4046.53,5179.96
45,0,13.235,4046.71,5179.96
46,0,-348.6106,4047.06,5179.96
47,0,8.9403,4047.4,5179.96
48,0,9.8155,4047.62,5179.96
49,0,5.8041,4047.89,5179.96
50,0,11.3455,4050.47,5205.89
51,0,-201.1574,4050.86,5205.89
52,0,-204.6505,4051.24,5205.89
53,0,6.7995,4052.18,5205.89
54,0,8.5638,4052.68,5205.89
55,0,8.7449,4053.05,5205.89
56,0,-199.9122,4053.35,5205.89
57,0,13.1159,4053.41,5205.89
58,0,7.0056,4053.49,5205.89
59,0,10.6061,4053.65,5205.89
60,0,10.4662,4053.72,5205.89
61,0,10.3907,4054.04,5205.89
62,0,10.7598,4054.42,5205.89
63,0,-201.7771,4054.48,5205.89
64,0,-52.9795,4054.72,5205.89
65,0,6.4167,4054.91,5205.89
66,0,8.591,4054.98,5205.89
67,0,14.885,4055.12,5205.89
68,0,9.0898,4055.42,5205.89
69,0,13.5019,4055.49,5205.89
70,0,-262.9116,4056.0,5205.89
71,0,-196.0978,4056.21,5205.89
72,0,6.3801,4056.75,5205.89
73,0,11.7159,4056.88,5205.89
74,0,10.1414,4057.19,5205.89
75,0,10.8727,4059.51,5219.31
76,0,-199.6579,4059.95,5219.31
77,0,-197.7505,4060.07,5219.31
78,0,13.4507,4060.13,5219.31
79,0,-42.8071,4060.25,5219.31
80,0,-196.7936,4060.34,5219.31
81,0,-419.4962,4060.47,5219.31
82,0,6.2759,4061.12,5219.31
83,0,-195.3509,4061.31,5219.31
84,0,12.9025,4061.44,5219.31
85,0,-357.6782,4061.68,5219.31
86,0,19.2247,4061.77,5219.31
