iteration,score,q_val,nowMem,pealMem
1,0,1.0769,3969.23,3970.99
2,0,-208.9231,3973.79,4255.61
3,0,-208.6285,3980.39,4259.13
4,0,1.0769,3983.82,4265.73
5,0,-208.9091,3987.16,4269.23
6,0,1.3154,3988.85,4272.68
7,0,1.7197,3991.74,4274.38
8,0,-208.5796,3994.74,4277.24
9,0,-208.7491,3995.98,4280.1
10,0,1.0771,3997.86,4281.44
11,0,1.2635,3999.63,4283.4
12,0,1.4956,4001.69,4285.17
13,0,1.0772,4003.81,4287.27
14,0,1.0772,4004.97,4289.34
15,0,1.6171,4006.08,4290.47
16,0,-208.7487,4006.85,4291.62
17,0,1.1957,4008.39,4292.37
18,0,1.3241,4009.54,4293.98
19,0,1.2767,4010.3,4295.08
20,0,1.3314,4010.89,4295.91
21,0,1.3413,4012.22,4296.48
22,0,1.2501,4013.59,4297.76
23,0,1.3105,4015.93,4299.22
24,0,1.3598,4016.57,4301.51
25,0,1.5642,4019.62,5165.78
26,0,1.3651,4020.78,5165.78
27,0,1.2596,4022.1,5165.78
28,0,-208.6819,4023.45,5165.78
29,0,1.0769,4024.52,5165.78
30,0,1.3165,4026.06,5165.78
31,0,1.3603,4026.72,5165.78
32,0,1.3134,4027.08,5165.78
33,0,1.3753,4028.27,5165.78
34,0,1.7588,4029.79,5165.78
35,0,-208.6123,4030.25,5165.78
36,0,1.235,4031.05,5165.78
37,0,1.292,4031.48,5165.78
38,0,1.3871,4031.78,5165.78
39,0,1.357,4032.62,5165.78
40,0,1.3471,4033.52,5165.78
41,0,1.3799,4034.36,5165.78
42,0,1.3818,4035.28,5165.78
43,0,1.3908,4035.44,5165.78
44,0,1.2664,4036.17,5165.78
45,1,1.3274,4037.85,5165.78
46,0,1.0993,4038.68,5165.78
47,0,1.3164,4039.13,5165.78
48,0,1.3391,4039.93,5165.78
49,0,1.7876,4040.0,5165.78
50,0,1.3936,4042.38,5199.51
51,0,-208.6447,4042.54,5199.51
52,0,1.7183,4043.01,5199.51
53,0,-208.4755,4043.32,5199.51
54,0,1.3576,4044.23,5199.51
